Hotel Name,Score,Star rating
Braira Al Ahsa,8.9Scored 8.9,4.0
Boudl Majmaa,8.1Scored 8.1,
Boudl Al Jubail,8.4Scored 8.4,4.0
Warwick Al Jubail Hotel,8.6Scored 8.6,4.0
فندق كوخ الضباب النماص,7.7Scored 7.7,4.0
Grand Plaza Hotel - Jazan,8.6Scored 8.6,4.0
Boudl Al Maidan,8.0Scored 8.0,
Radisson Blu Resort Jizan,8.0Scored 8.0,4.0
Hala Inn Arar Hotel,7.5Scored 7.5,
Central Park Hotel Bisha,7.8Scored 7.8,3.0
Boudl Mahayel Aseer,8.1Scored 8.1,
Holiday Villa Hail,8.1Scored 8.1,4.0
Raoum Inn Khafji Corniche,8.3Scored 8.3,
Boudl Al Fakhria,8.8Scored 8.8,
Our Habitas AlUla,9.3Scored 9.3,5.0
Bay La Sun Hotel and Marina - KAEC,8.2Scored 8.2,5.0
Novotel Jazan,8.7Scored 8.7,5.0
Best Western Plus Al Qurayyat City Center,8.7Scored 8.7,4.0
Grand Millennium Gizan,8.2Scored 8.2,5.0
فندق ادوماتو ADOMATo HOTEl,8.0Scored 8.0,2.0
Waves Hotel,9.4Scored 9.4,5.0
Ramada Hotel & Suites by Wyndham Al Qassim,8.9Scored 8.9,5.0
Banyan Tree AlUla,9.0Scored 9.0,5.0
Grand Hyatt Al Khobar Hotel and Residences,8.9Scored 8.9,5.0
"Al Ahsa InterContinental, an IHG Hotel",8.5Scored 8.5,5.0
Narcissus Al Hamra Hotel Jeddah,9.1Scored 9.1,5.0
Al Muhaidb Residence Al Takhassusi,6.5Scored 6.5,
Vista Haql Hotel,9.2Scored 9.2,4.0
Mövenpick Hotel Qassim,8.9Scored 8.9,5.0
Tamyoz Aparthotel 2,7.1Scored 7.1,
Shaza Riyadh,8.2Scored 8.2,4.0
Jeddah Hilton,7.9Scored 7.9,5.0
Warwick Hotel Jeddah,8.4Scored 8.4,4.0
Braira Al Dammam,8.8Scored 8.8,4.0
Boudl Al Munsiyah,7.8Scored 7.8,
Centro Corniche Al Khobar by Rotana,7.8Scored 7.8,4.0
Aloft Dhahran Hotel,8.4Scored 8.4,4.0
Iridium 70 Hotel,8.9Scored 8.9,4.0
Hadab Al Sahafa,8.1Scored 8.1,4.0
فندق EWG أبحر الشاطئ golden sea,7.7Scored 7.7,3.0
Blue Diamond Hotel,8.8Scored 8.8,4.0
شاليهات التميز الراقي,9.1Scored 9.1,3.0
Hilton Riyadh Hotel & Residences,8.2Scored 8.2,5.0
The Venue Jeddah Corniche,7.6Scored 7.6,5.0
Grand Millennium Tabuk,8.9Scored 8.9,5.0
Joudyan Jeddah Red Sea Mall,8.1Scored 8.1,5.0
Gardino Hotel & Residence,8.4Scored 8.4,4.0
Naviti Warwick Dammam,8.1Scored 8.1,
Olian Hotel,7.8Scored 7.8,4.0
Al Muhaidb Residence Al Dowally,7.1Scored 7.1,
Dana Rayhaan by Rotana,9.0Scored 9.0,5.0
Boudl Al Tahlia,8.3Scored 8.3,4.0
Citadines Abha,8.7Scored 8.7,
بنزرت للشقق الفندقيه,8.7Scored 8.7,
Golden Garden Al Corniche,7.5Scored 7.5,3.0
Seiba Hotel Apartments-Riyadh,7.0Scored 7.0,
Boudl Al Corniche,8.7Scored 8.7,
Four Seasons Hotel Riyadh,8.8Scored 8.8,5.0
Rio Hotel Olaya,8.0Scored 8.0,4.0
فندق سافوي جدة Savoye Hotel,8.9Scored 8.9,3.0
Crown Rose AlSahafa Hotel,7.4Scored 7.4,4.0
Rest Night Hotel Apartment- AlHamra,7.5Scored 7.5,
Radisson Hotel & Apartments Dammam Industry City,7.9Scored 7.9,4.0
