Hotel Name,Address,Score,Number of reviews,Price,Room type,Star rating,Room view,Swimming pool,Restaurant,Parking,Wheelchair accessibility
Malfa Hotel Apartments,Qal'at Bishah,8.1,823,"SAR 1,250",Twin Room with Private Bathroom,0,yes,no,no,yes,yes
Intour Al Khafji Hotel,Al Khafji,7.7,474,"SAR 1,465",Deluxe  Room,4.0,no,no,yes,yes,no
Braira Al Ahsa,Al Ahsa,8.9,0,"SAR 3,071",Classic Room,4.0,yes,yes,yes,yes,no
الراحة بلازا للشقق المفروشة,Sharurah,7.1,96,SAR 625,Twin Room,3.0,yes,no,no,yes,no
Boudl Majmaa,Al Majmaah,8.1,700,"SAR 1,656",Standard Room With King Bed,0,no,yes,yes,yes,no
ريف الشرق للشقق الفندقية,Al Madinah,8.3,309,SAR 990,Double Room,0,no,no,no,yes,no
فندق نوفا بارك,Sharurah,9.2,23,SAR 650,Double Room,0,no,no,no,yes,yes
Rabigh Park Hotel,Rabigh,8.0,504,"SAR 1,238",Superior Double Room,4.0,no,no,no,no,no
Caravan by Habitas AlUla,AlUla,9.2,714,"SAR 4,872",Double Room,5.0,yes,no,yes,yes,no
Boudl Al Rass,Al Rass,8.7,546,"SAR 1,330",Studio,0,no,no,no,yes,yes
AlMuhaidb Residence Alkhafji,Al Khafji,8.4,0,"SAR 1,405",Superior Double Room,0,no,no,yes,yes,no
Palms Lily Hotel Suites,Al Ahsa,5.9,0,SAR 843,Studio,0,yes,no,no,yes,no
Lily Hotel Suite Hofuf,Al Hofuf,8.4,0,"SAR 1,250",King Studio,0,no,no,no,yes,yes
Tala inn,Al Khafji,6.9,296,SAR 851,Standard Double Room,0,no,no,no,no,no
Boudl Al Jubail,Al Jubail,8.4,0,"SAR 1,835",Standard Suite with City View,4.0,no,yes,yes,no,no
Aber Unayzah,Unayzah,8.7,0,"SAR 1,501",Twin Room,3.0,no,no,no,no,no
Aber Bani Amr,Al Namas,9.2,392,"SAR 1,150",Standard Double Room,3.0,no,no,no,no,no
المهيدب للشقق المخدومة,Al Fuḑūl,7.7,27,"SAR 1,400",Deluxe Studio,0,yes,no,no,yes,no
Boudl Wadi Al Dawasir,Wadi Al Dawasir,8.5,582,"SAR 1,200",Standard Double Room,3.0,no,no,no,no,no
Park Inn by Radisson Najran,Najran,8.5,725,"SAR 1,913",Superior Room,4.0,no,no,yes,no,no
Top View - شقق المنظر,Al Hofuf,8.0,0,"SAR 1,046",Budget Double Room,0,yes,no,no,yes,no
Crystal Blue Hotel,Rabigh,6.7,180,SAR 900,Double Room,0,no,no,yes,no,no
قصر أباهي النعيرية,Al Nairyah,7.1,28,SAR 900,Double Room,0,no,no,no,yes,no
اقامة بلس ميرا هاوس,Baljurashi,7.7,136,"SAR 2,798",Double Room,3.0,no,no,yes,no,yes
القصر الكورنيش,Jazan,8.9,161,"SAR 1,250",Deluxe Twin Room,2.0,no,no,no,no,yes
Onizah Hotel,Unayzah,7.2,703,SAR 930,Double Room,0,no,no,yes,no,no
فندق الملحان,Qal'at Bishah,7.8,75,"SAR 1,100",Twin Room with Shared Toilet,0,yes,no,no,no,no
