Hotel Name,Score,Star rating
Malfa Hotel Apartments,8.1Scored 8.1,
Intour Al Khafji Hotel,7.7Scored 7.7,4.0
Braira Al Ahsa,8.9Scored 8.9,4.0
الراحة بلازا للشقق المفروشة,7.1Scored 7.1,3.0
Boudl Majmaa,8.1Scored 8.1,
ريف الشرق للشقق الفندقية,8.3Scored 8.3,
فندق نوفا بارك,9.2Scored 9.2,
Caravan by Habitas AlUla,9.2Scored 9.2,5.0
Boudl Al Rass,8.7Scored 8.7,
AlMuhaidb Residence Alkhafji,8.4Scored 8.4,
Palms Lily Hotel Suites,5.9Scored 5.9,
Lily Hotel Suite Hofuf,8.4Scored 8.4,
المهيدب للشقق المخدومة,7.7Scored 7.7,
Top View - شقق المنظر,8.0Scored 8.0,
قصر أباهي النعيرية,7.1Scored 7.1,
Raoum Inn Khafji Southern,6.0Scored 6.0,
Rest Night Hotel Apartments Wadi Al Dawasir,8.0Scored 8.0,
Al Muhaidb Residence Al Maidan,8.4Scored 8.4,
Raoum Inn Sakaka,7.7Scored 7.7,
Boudl Al Maidan,8.0Scored 8.0,
Aber City Center,9.2Scored 9.2,
Al Muhaidb Sudair,7.9Scored 7.9,
Hala Inn Arar Hotel,7.5Scored 7.5,
LADAN APARTMENT,8.4Scored 8.4,
Al kharboush For Furnished Units,8.0Scored 8.0,
Central Park Hotel Bisha,7.8Scored 7.8,3.0
Boudl Mahayel Aseer,8.1Scored 8.1,
Golden Tulip Hail,6.3Scored 6.3,4.0
Al Muhaidb Al Hada Resort,8.4Scored 8.4,
Holiday Villa Hail,8.1Scored 8.1,4.0
Manazel Al Hamra Apartment 2,7.9Scored 7.9,
حياة تاون 3,8.4Scored 8.4,3.0
Raoum Inn Khafji Corniche,8.3Scored 8.3,
Al Ahsa Grand Hotel,8.5Scored 8.5,5.0
Ewaa Express Hotel - Buraydah,8.2Scored 8.2,3.0
Boudl Al Fakhria,8.8Scored 8.8,
دايموند Diamond,7.8Scored 7.8,
Raoum Inn - Hawtah Bani Tamim,6.6Scored 6.6,
Taiba Suites Madinah,8.3Scored 8.3,
فندق ارجان بارك Arjan Park Hotel,9.1Scored 9.1,
فندق لمسات نجران,8.4Scored 8.4,2.0
Ewaa Express Hotel - Al Jouf,8.9Scored 8.9,3.0
Al Farhan Hotel & Suites Hafr Al Batin,8.1Scored 8.1,3.0
Bay La Sun Hotel and Marina - KAEC,8.2Scored 8.2,5.0
Marina Arar Furnished Apartments,8.6Scored 8.6,
Karims Hotel,8.0Scored 8.0,2.0
Novotel Jazan,8.7Scored 8.7,5.0
Views Hotel & Residences,8.5Scored 8.5,
Raoum Inn Majmaa,6.4Scored 6.4,
Golden Bujari Bisha جولدن بوجاري بيشة,8.6Scored 8.6,4.0
Grand Millennium Gizan,8.2Scored 8.2,5.0
Tanuma Aram Hospitality - Hotel Apartments,8.0Scored 8.0,3.0
فندق ادوماتو ADOMATo HOTEl,8.0Scored 8.0,2.0
Mirada Gold Jizan - Resort & Private Pools,8.4Scored 8.4,5.0
Waves Hotel,9.4Scored 9.4,5.0
إطلالة الواحة للوحدات السكنية المخدومة,8.1Scored 8.1,
Ramada Hotel & Suites by Wyndham Al Qassim,8.9Scored 8.9,5.0
Makarim Palm Hotel,6.9Scored 6.9,
Banyan Tree AlUla,9.0Scored 9.0,5.0
Address Sharurah Hotel,7.5Scored 7.5,4.0
Mirada Purple - Zahra,8.3Scored 8.3,4.0
Grand Hyatt Al Khobar Hotel and Residences,8.9Scored 8.9,5.0
"Al Ahsa InterContinental, an IHG Hotel",8.5Scored 8.5,5.0
Mövenpick Hotel Qassim,8.9Scored 8.9,5.0
شقق الورود بارك,,
سما2,8.0Scored 8.0,
Tamyoz Aparthotel 2,7.1Scored 7.1,
Crown Tower Hotel,8.1Scored 8.1,4.0
Al Jahwah hotel,8.0Scored 8.0,
AlRayah Hotel,9.0Scored 9.0,3.0
جوان سويت للشقق المخدومة,7.6Scored 7.6,3.0
Shaza Riyadh,8.2Scored 8.2,4.0
Jeddah Hilton,7.9Scored 7.9,5.0
Reef Al Malaz International Hotel by Al Azmy,4.6Scored 4.6,3.0
