Hotel Name,Score,Star rating
Intour Al Khafji Hotel,7.7Scored 7.7,4.0
Braira Al Ahsa,8.9Scored 8.9,4.0
Boudl Majmaa,8.1Scored 8.1,
Caravan by Habitas AlUla,9.2Scored 9.2,5.0
AlMuhaidb Residence Alkhafji,8.4Scored 8.4,
Boudl Al Jubail,8.4Scored 8.4,4.0
Park Inn by Radisson Najran,8.5Scored 8.5,4.0
Crystal Blue Hotel,6.7Scored 6.7,
اقامة بلس ميرا هاوس,7.7Scored 7.7,3.0
Onizah Hotel,7.2Scored 7.2,
Raoum Inn Sakaka,7.7Scored 7.7,
Radisson Blu Resort Jizan,8.0Scored 8.0,4.0
Hala Inn Arar Hotel,7.5Scored 7.5,
Central Park Hotel Bisha,7.8Scored 7.8,3.0
Holiday Villa Hail,8.1Scored 8.1,4.0
Raoum Inn Khafji Corniche,8.3Scored 8.3,
Ewaa Express Hotel - Al Jouf,8.9Scored 8.9,3.0
Our Habitas AlUla,9.3Scored 9.3,5.0
Al Farhan Hotel & Suites Hafr Al Batin,8.1Scored 8.1,3.0
Bay La Sun Hotel and Marina - KAEC,8.2Scored 8.2,5.0
Novotel Jazan,8.7Scored 8.7,5.0
Best Western Plus Al Qurayyat City Center,8.7Scored 8.7,4.0
Views Hotel & Residences,8.5Scored 8.5,
Grand Millennium Gizan,8.2Scored 8.2,5.0
Tanuma Aram Hospitality - Hotel Apartments,8.0Scored 8.0,3.0
فندق ادوماتو ADOMATo HOTEl,8.0Scored 8.0,2.0
Waves Hotel,9.4Scored 9.4,5.0
Ramada Hotel & Suites by Wyndham Al Qassim,8.9Scored 8.9,5.0
"Makkah Clock Royal Tower, A Fairmont Hotel",8.1Scored 8.1,5.0
Ewaa Express Hotel - Khurais,8.3Scored 8.3,3.0
Banyan Tree AlUla,9.0Scored 9.0,5.0
Movenpick Hotel and Residences Riyadh,8.8Scored 8.8,5.0
Address Sharurah Hotel,7.5Scored 7.5,4.0
Grand Hyatt Al Khobar Hotel and Residences,8.9Scored 8.9,5.0
"Al Ahsa InterContinental, an IHG Hotel",8.5Scored 8.5,5.0
Narcissus Al Hamra Hotel Jeddah,9.1Scored 9.1,5.0
Raoum Inn Buraydah,8.0Scored 8.0,
Mövenpick Hotel Qassim,8.9Scored 8.9,5.0
Crown Tower Hotel,8.1Scored 8.1,4.0
Fakhamat Al Orjoana & Suites,7.2Scored 7.2,
Warwick Hotel Jeddah,8.4Scored 8.4,4.0
Braira Al Dammam,8.8Scored 8.8,4.0
البندقية للأجنحة الفندقية بريدة BQ hotel suites,6.7Scored 6.7,3.0
Danat Layalina Apparthotel,7.4Scored 7.4,
فوربوينتس باي شيراتون مكة النسيم,8.3Scored 8.3,4.0
Aloft Dhahran Hotel,8.4Scored 8.4,4.0
فندق EWG أبحر الشاطئ golden sea,7.7Scored 7.7,3.0
Blue Diamond Hotel,8.8Scored 8.8,4.0
Oriental Residence,8.3Scored 8.3,3.0
Sharz Hotel,8.2Scored 8.2,3.0
Hilton Riyadh Hotel & Residences,8.2Scored 8.2,5.0
Grand Millennium Tabuk,8.9Scored 8.9,5.0
Carawan Al Khaleej Hotel Olaya,8.6Scored 8.6,2.0
Joudyan Jeddah Red Sea Mall,8.1Scored 8.1,5.0
Gardino Hotel & Residence,8.4Scored 8.4,4.0
Naviti Warwick Dammam,8.1Scored 8.1,
Olian Hotel,7.8Scored 7.8,4.0
Mena Hotel Nasiriah Riyadh,8.1Scored 8.1,3.0
فندق سدرا,7.0Scored 7.0,2.0
Citadines Abha,8.7Scored 8.7,
Mirnian Hotel,8.6Scored 8.6,
Doubletree By Hilton Makkah Jabal Omar,8.5Scored 8.5,4.0
Park Inn by Radisson Makkah Al Naseem,7.8Scored 7.8,4.0
"Crowne Plaza - Jeddah Al Salam, an IHG Hotel",9.1Scored 9.1,
Best Western Plus Fursan,8.1Scored 8.1,
Royal Casablanca,7.2Scored 7.2,4.0
Ruve Jeddah Hotel,7.8Scored 7.8,4.0
Radisson Blu Hotel Riyadh Qurtuba,8.2Scored 8.2,5.0
Hilton Garden Inn Al Jubail,8.1Scored 8.1,4.0
Le Meridien Al Khobar,8.3Scored 8.3,5.0
"Holiday Inn Riyadh Izdihar, an IHG Hotel",7.4Scored 7.4,4.0
Al Farhan Suites Ishbillia,7.3Scored 7.3,
"InterContinental Durrat Al Riyadh Resort & Spa, an IHG Hotel",8.2Scored 8.2,5.0
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",8.9Scored 8.9,5.0
Four Seasons Hotel Riyadh,8.8Scored 8.8,5.0
Rio Hotel Olaya,8.0Scored 8.0,4.0
Al Taif Gate Hotel Suites,7.4Scored 7.4,
Aster Hotel,7.5Scored 7.5,4.0
Renee Suites,8.7Scored 8.7,3.0
فندق سافوي جدة Savoye Hotel,8.9Scored 8.9,3.0
M Hotel Al Dana Makkah by Millennium,7.9Scored 7.9,4.0
Sama Al Qasr - Khurais,7.1Scored 7.1,
La Fontaine Jeddah Hotel,7.3Scored 7.3,3.0
Crown Rose AlSahafa Hotel,7.4Scored 7.4,4.0
Radisson Hotel & Apartments Dammam Industry City,7.9Scored 7.9,4.0
