Hotel Name,Score,Star rating
فندق ارجان بارك Arjan Park Hotel,9.1Scored 9.1,
Novotel Jazan,8.7Scored 8.7,5.0
Braira Al Ahsa,8.9Scored 8.9,4.0
Caravan by Habitas AlUla,9.2Scored 9.2,5.0
Central Park Hotel Bisha,7.8Scored 7.8,3.0
Holiday Villa Hail,8.1Scored 8.1,4.0
WA Hotel,8.4Scored 8.4,4.0
فندق لمسات نجران,8.4Scored 8.4,2.0
ibis Jeddah City Center,8.4Scored 8.4,3.0
Park Inn by Radisson Jubail Industrial City,8.3Scored 8.3,4.0
فندق ضيوف المقام للغرف والشقق المفروشة,8.1Scored 8.1,3.0
Enala Hotel - Al Khobar,8.8Scored 8.8,3.0
Al Farhan Hotel & Suites Hafr Al Batin,8.1Scored 8.1,3.0
Ramada Hotel & Suites by Wyndham Al Qassim,9.0Scored 9.0,5.0
Makarim Palm Hotel,6.9Scored 6.9,
Malfa Hotel Apartments,8.1Scored 8.1,
فوربوينتس باي شيراتون مكة النسيم,8.3Scored 8.3,4.0
Aloft Dhahran Hotel,8.3Scored 8.3,4.0
الراحة بلازا للشقق المفروشة,7.1Scored 7.1,3.0
Mirada Purple - Zahra,8.3Scored 8.3,
Hadab Al Sahafa,8.1Scored 8.1,4.0
Four Points by Sheraton Jeddah Corniche,8.3Scored 8.3,4.0
Centro Shaheen Jeddah by Rotana,8.2Scored 8.2,4.0
"Holiday Inn & Suites Al Jubail, an IHG Hotel",9.0Scored 9.0,4.0
Hujra Hotel Tahlia Jeddah,8.4Scored 8.4,4.0
Palms Lily Hotel Suites,5.9Scored 5.9,
إطلالة الواحة للوحدات السكنية المخدومة,8.1Scored 8.1,
المهيدب للشقق المخدومة,7.7Scored 7.7,
Aman Hotel Suites,9.2Scored 9.2,4.0
المبيت للشقق الفندقية,7.2Scored 7.2,
Bay La Sun Hotel and Marina - KAEC,8.2Scored 8.2,5.0
Karims Hotel,8.0Scored 8.0,2.0
Seiba Hotel Apartments-Riyadh,7.0Scored 7.0,
Park Inn by Radisson Makkah Al Naseem,7.8Scored 7.8,4.0
"Crowne Plaza - Jeddah Al Salam, an IHG Hotel",9.1Scored 9.1,
Radisson Blu Hotel Riyadh Qurtuba,8.2Scored 8.2,5.0
Grand Mayral Hotel,7.7Scored 7.7,4.0
Swiss by Pioneer,7.3Scored 7.3,3.0
Joudyan Olaya Riyadh,8.2Scored 8.2,4.0
Blue inn Boutique,7.6Scored 7.6,5.0
جلف ستار للشقق المخدومة GULF STAR APARTMENTs,8.1Scored 8.1,
Hola Hotel,8.5Scored 8.5,4.0
Paradise Inn Jeddah Hotel,8.1Scored 8.1,3.0
Al Mabeet 2 Hotel suites,7.3Scored 7.3,
Banyan Tree AlUla,9.0Scored 9.0,5.0
Best Western Plus Al Qurayyat City Center,8.7Scored 8.7,4.0
SEAVIEW HOTEL,8.1Scored 8.1,4.0
Address Jabal Omar Makkah,9.0Scored 9.0,5.0
Signature Hotel,8.1Scored 8.1,3.0
ibis Styles Makkah,7.9Scored 7.9,3.0
Golden Tulip Riyadh,8.8Scored 8.8,4.0
Jeddah Marriott Hotel Madinah Road,8.7Scored 8.7,5.0
Golden Bujari Hotel Al Khobar,7.5Scored 7.5,4.0
M Hotel Makkah by Millennium,7.5Scored 7.5,5.0
Mercure Corniche Al Khobar,6.8Scored 6.8,4.0
بوابة الريادة,4.9Scored 4.9,
Rosh Rayhaan by Rotana,8.3Scored 8.3,5.0
Top View - شقق المنظر,8.0Scored 8.0,
Dana Hotel & Residences 2,8.6Scored 8.6,
Benayt Al-Saraya,8.5Scored 8.5,
روز للشقق الفندقية 2,7.0Scored 7.0,
فندق الملحان,7.8Scored 7.8,
Continent Al Waha Hotel Riyad,7.7Scored 7.7,4.0
Batw باتوا لشقق المخدومة,5.6Scored 5.6,
Taj Al-Wajh Hotel,7.4Scored 7.4,2.0
Braira Al Nakheel,9.0Scored 9.0,4.0
شقق الورود بارك,,
Tamyoz Aparthotel 2,7.1Scored 7.1,
AlRayah Hotel,9.0Scored 9.0,3.0
Golden Dream Hotel,7.8Scored 7.8,4.0
Safa PARK HOTEL YANBU فندق صفا بارك ينبع,7.3Scored 7.3,3.0
Marriott Executive Apartments Madinah,8.9Scored 8.9,4.0
Safwt Aldyar Furnished Units,6.6Scored 6.6,
The Apartments,7.7Scored 7.7,5.0
Awfad Hotel,7.5Scored 7.5,4.0
Boudl Quraish,8.6Scored 8.6,
Al-Borg Hotel,7.9Scored 7.9,4.0
Park Inn by Radisson Al Khobar,7.3Scored 7.3,4.0
تـالـيـن الـهـفـوف,6.7Scored 6.7,
Warwick Al Khobar,8.1Scored 8.1,5.0
Pullman ZamZam Makkah,6.7Scored 6.7,5.0
Ramada by Wyndham Dammam Khaleej Road,6.7Scored 6.7,4.0
Modern Family Apartments 7 Mins Drive to Al Masjid Nabwi - Al Jamouat 2,7.2Scored 7.2,
Arjaan Altakhassusi Hotel Suites,8.5Scored 8.5,
Skyline Tabuk Hotel,9.2Scored 9.2,4.0
Citadines Abha,8.7Scored 8.7,
Lavent Park Hotel Suites,5.5Scored 5.5,3.0
Orans Suites 4,7.8Scored 7.8,
Msharef almoden hotel فندق مشارف المدن,7.9Scored 7.9,
Kadi Hotel,7.7Scored 7.7,3.0
JW Marriott Hotel Riyadh,7.8Scored 7.8,5.0
