Hotel Name,Score,Star rating
Malfa Hotel Apartments,8.1Scored 8.1,
فندق نوفا بارك,9.2Scored 9.2,
Boudl Al Rass,8.7Scored 8.7,
Lily Hotel Suite Hofuf,8.4Scored 8.4,
اقامة بلس ميرا هاوس,7.7Scored 7.7,3.0
القصر الكورنيش,8.9Scored 8.9,2.0
Rollins Hotel,8.0Scored 8.0,3.0
Rest Night Hotel Apartments Wadi Al Dawasir,8.0Scored 8.0,
Central Park Hotel Bisha,7.8Scored 7.8,3.0
Golden Tulip Hail,6.3Scored 6.3,4.0
Holiday Villa Hail,8.1Scored 8.1,4.0
حياة تاون 3,8.4Scored 8.4,3.0
Raoum Inn Khafji Corniche,8.3Scored 8.3,
Al Ahsa Grand Hotel,8.5Scored 8.5,5.0
Taiba Suites Madinah,8.3Scored 8.3,
Aber Khamis Mushait,8.6Scored 8.6,3.0
فندق ارجان بارك Arjan Park Hotel,9.1Scored 9.1,
فندق جيست هاوس,8.8Scored 8.8,4.0
Millennium Hail Hotel,8.4Scored 8.4,5.0
Raoum Inn Hafr Al Baten,8.0Scored 8.0,
Bay La Sun Hotel and Marina - KAEC,8.2Scored 8.2,5.0
Karims Hotel,8.0Scored 8.0,2.0
Novotel Jazan,8.7Scored 8.7,5.0
Golden Bujari Bisha جولدن بوجاري بيشة,8.6Scored 8.6,4.0
Grand Millennium Gizan,8.2Scored 8.2,5.0
Tanuma Aram Hospitality - Hotel Apartments,8.0Scored 8.0,3.0
فندق ادوماتو ADOMATo HOTEl,8.0Scored 8.0,2.0
Mirada Gold Jizan - Resort & Private Pools,8.4Scored 8.4,5.0
Waves Hotel,9.4Scored 9.4,5.0
إطلالة الواحة للوحدات السكنية المخدومة,8.1Scored 8.1,
Ramada Hotel & Suites by Wyndham Al Qassim,8.9Scored 8.9,5.0
Address Sharurah Hotel,7.5Scored 7.5,4.0
Mirada Purple - Zahra,8.3Scored 8.3,4.0
Grand Hyatt Al Khobar Hotel and Residences,8.9Scored 8.9,5.0
"Al Ahsa InterContinental, an IHG Hotel",8.5Scored 8.5,5.0
Arif Housing Units,8.6Scored 8.6,
Mövenpick Hotel Qassim,8.9Scored 8.9,5.0
Jeddah Hilton,7.9Scored 7.9,5.0
Braira Al Dammam,8.8Scored 8.8,4.0
Danat Layalina Apparthotel,7.4Scored 7.4,
ريـزورد بـلازا - RIZORD plaza,8.7Scored 8.7,4.0
Msakn Aldar,8.6Scored 8.6,4.0
Blue Diamond Hotel,8.8Scored 8.8,4.0
Grand Millennium Tabuk,8.9Scored 8.9,5.0
Lavana Sari,7.8Scored 7.8,4.0
Olian Hotel,7.8Scored 7.8,4.0
Al Muhaidb Residence Al Dowally,7.1Scored 7.1,
Golden Garden Al Corniche,7.5Scored 7.5,3.0
Msharef almoden hotel فندق مشارف المدن,9.0Scored 9.0,4.0
Msharef almoden hotel فندق مشارف المدن,9.0Scored 9.0,
Braira Al Yarmouk,8.6Scored 8.6,4.0
Nuzl Shada Hotel,8.5Scored 8.5,3.0
"Staybridge Suites Al Khobar, an IHG Hotel",8.7Scored 8.7,4.0
IntercityHotel Riyadh Malaz,7.9Scored 7.9,4.0
Al Andalus Mall Hotel,8.3Scored 8.3,4.0
Aman Hotel Suites,9.2Scored 9.2,4.0
Mabet Al Tahlia Hotel Apartments,7.7Scored 7.7,
هوتيلتن قرطبه HOTELTEN Qurtubah,8.1Scored 8.1,4.0
ال متعب سويتس الإزدهار,7.0Scored 7.0,
Aseel Resort,8.1Scored 8.1,5.0
Al Ayniah Hotel,7.8Scored 7.8,2.0
Hayat Al Riyadh Washam Hotel,8.2Scored 8.2,4.0
Touq Balad,8.2Scored 8.2,3.0
Best Western Plus Fursan,8.1Scored 8.1,
فندق لاجونا ڤيستا بريدة,8.7Scored 8.7,5.0
Rahhal Hotel Suites,8.2Scored 8.2,
TIME Ruba Hotel & Suites,8.6Scored 8.6,5.0
Dana Hotel & Residences 2,8.6Scored 8.6,
فندق لوريف,9.9Scored 9.9,4.0
Burj Alhayah Hotel Suites Alfalah,6.8Scored 6.8,
Nelover Hotel Hafar,8.1Scored 8.1,
Marvelous Hotel,9.5Scored 9.5,3.0
Lotaz Hotel Suites - Al Salamah,9.1Scored 9.1,
Residence Inn by Marriott Dammam,9.0Scored 9.0,4.0
Courtyard by Marriott Jubail,8.6Scored 8.6,4.0
Mövenpick Hotel Jeddah,7.6Scored 7.6,4.0
Novotel Dammam Business Park,7.3Scored 7.3,4.0
Traveller Inn Hotel Appartments,7.4Scored 7.4,
